appartement;studio;maison;chambre;nb_photo;prix;nb_pieces;nb_chambres;surface;distance_station_0;distance_station_1;distance_station_2;Cathédrale Notre-Dame de Paris;Basilique du Sacré-Cœur de Montmartre;Musée du Louvre;Tour Eiffel;Centre Pompidou;Musée d’Orsay;Cité des sciences et de l’industrie;Chapelle Notre-Dame de la Médaille miraculeuse;Grand site du Jardin des plantes;Arc de triomphe;Grand Palais;distance_université_plus_près;arrondissement
1;0;0;0;8;705000;5;3;85;101.168497520624;378.842818172767;357.727730601123;4072.49449851327;5893.56578446201;5021.13199540866;8154.11408628847;3969.63558041803;5830.7385458228;4876.04606647492;6062.62341380902;3949.45608865628;8404.81339008489;6981.77191395833;3152.90313356119;1
1;0;0;0;5;320000;2;1;30;252.855997036732;372.403527312724;503.213862787252;4125.978168485;5836.50606877758;5045.42058774818;8193.98563915269;3989.8656916627;5862.1893379787;4741.43379916136;6120.43666206105;4029.97750733415;8411.74750503099;7000.06365306426;3307.05962086956;1
0;1;0;0;12;225000;1;0;25;216.65727455564;420.952471547886;527.496900440489;4340.81154487266;5863.23889812427;5216.38281051341;8384.72990468415;4157.22187963684;6042.6540579685;4586.75072352353;6338.21251411848;4279.01007326826;8550.98384328428;7158.9048268125;3606.25067267489;1
1;0;0;0;6;513000;2;1;29;139.902728081882;278.366364953259;395.75733867759;489.118830674584;4230.84920763477;1529.38660695927;4021.69454657362;1349.11544498737;1963.5580536435;5995.8392042445;1815.57786752371;469.012184616279;4737.42436441764;3221.02400738813;322.832875858596;0
1;0;0;0;13;1680000;4;3;105;68.6176475497982;352.771070123459;330.920199262316;6259.0314512608;7182.30678440069;5557.7731637463;2461.14868464223;6569.63523026441;4714.44482762679;10474.295366438;4262.50056485463;6435.33139651079;3639.8904232622;4024.16133416177;2351.45377787517;1
1;0;0;0;11;540000;2;1;48;230.678041330727;274.639527831791;354.163818791569;6140.86059287985;6955.42593165329;5399.53196623783;2262.84130991325;6422.15623333621;4552.73773658325;10264.2060831007;4149.61949878005;6345.39973857858;3384.8062045142;3816.47666883615;2109.54585383158;1
1;0;0;0;0;1200000;4;3;96;237.294713701578;360.368496996771;360.368496996771;5755.75107419971;6958.07157570717;5133.90109058721;2191.93956270467;6118.52759676815;4303.94123789815;10176.7349340177;3759.92821540164;5890.59956817866;3607.78801482978;3750.55366285457;2265.90190683266;1
1;0;0;0;8;1180000;4;2;91;312.08626509507;290.38605257581;405.058664730265;5714.72283162505;6625.13567297235;4988.40849504114;1888.58799947868;6005.49007125192;4143.58090822949;9903.88242130311;3722.37067299125;5917.31902094507;3150.82492994087;3454.10017437684;1829.23090425611;1
1;0;0;0;12;920000;3;2;73;216.582370362278;380.064223426953;380.064223426953;5736.14449663485;6933.46888277204;5111.68363813708;2167.32734695036;6097.11364541237;4281.33026265628;10152.6472520141;3740.05977271221;5873.0597403628;3584.12825998015;3726.08531866797;2242.00645875072;1
1;0;0;0;6;790000;3;2;72;242.042485246059;235.742667417783;554.451717624075;3476.63978862321;2275.18757600561;2215.11741376597;2536.02069627377;3077.16714354751;1870.24442971405;5655.57771508458;2779.64047132839;4155.91098146345;1627.2789846556;1101.32177376734;2588.15975931431;0
1;0;0;0;12;610000;3;1;50;106.563802463059;298.980481409402;435.721461908796;3450.59586149747;2415.1700366826;2190.6083106064;2387.00474452083;3086.63205621445;1792.32642064036;5783.73407249458;2673.35639672752;4116.68966778987;1531.62922388267;958.136209041375;2449.5830882161;0
1;0;0;0;2;1620000;4;2;140;117.412184472163;169.655859380268;431.756526650802;4279.2934286293;2487.39422854758;3018.06519703643;2791.00529430696;3850.23794296464;2649.08624289126;5924.53401908485;3497.6207425745;4960.71116400097;1375.73076620608;1672.07120323768;2631.01093260134;1
1;0;0;0;8;530000;2;1;46;153.658145797929;185.361100298284;248.253583250372;2699.07039738863;1187.36096905915;1696.06713225516;3889.73513727112;1977.00983981233;2073.15510563482;4126.21631803896;3099.3113923407;3453.37409449343;3301.55877380178;2325.3408221977;2786.47776317855;0
1;0;0;0;13;1900000;3;2;150;230.402546570898;558.657872621118;824.61432721801;5983.50942087634;5840.52696808786;4972.34047980473;1922.06832156631;6031.74853309468;4154.93306888239;9259.79171602244;4161.39543539934;6378.19477164344;2047.24147027517;3065.33857025802;711.538767156927;1
1;0;0;0;8;950000;4;3;89;288.696269560587;598.138858370417;650.637408472446;3004.2835158417;6697.48044493353;4231.14269218183;6362.01224294721;3707.430322106;4635.24501213285;7537.68103069282;4164.13075454234;2273.76672257288;7362.67545832328;5865.76721872135;865.266918708384;1
1;0;0;0;12;670000;2;1;67;198.444954289061;521.749966590951;883.496170603376;3318.8236911944;7035.3755331019;4530.71841537505;6546.86506959048;4041.10635538495;4900.05755261026;7884.98287532578;4376.28071500218;2578.20898939607;7603.51728702764;6117.05498269891;982.528439927161;1
1;0;0;0;14;530000;3;2;73;221.512266872271;546.020250057433;940.563625572251;3190.75829767022;6952.68169822462;4369.28849743859;6260.98515414237;3953.56188708221;4689.18206628057;7957.28620761997;4115.07483999533;2438.74811237717;7361.76415828533;5888.09313061673;1299.64848203096;1
1;0;0;0;6;490000;3;2;53;307.236753195444;315.372467815055;954.762114072525;4358.27939724223;2999.41041530355;4294.37782947939;7200.01415959817;3575.9492340967;5052.32725220159;1214.54277508624;5877.84910354024;4875.54514307848;6629.17250106619;5659.55240201787;4927.89004297244;1
1;0;0;0;10;555000;3;2;47;162.762352820583;78.6023655438109;511.328915511384;3048.35976040718;5598.83061443733;2937.48297216411;2387.17170493227;3655.34998309141;2374.839582323;8242.45029072232;1358.32518765495;2990.90456808248;3921.9026123124;2849.15791739223;2338.1723185877;1
0;0;0;1;10;119000;1;0;8;201.622280629135;508.265393628556;508.265393628556;2931.32786359747;5554.5225965809;2860.8730390841;2473.95637549655;3553.45033830626;2328.61433793391;8158.52565132795;1297.41772875686;2859.70206600753;3977.72536702264;2863.54731071051;2226.43098046762;1
1;0;0;0;11;608000;3;2;57;119.753013785103;411.591182655419;576.609301435879;4462.52912867815;4365.50823970567;4833.58607886002;7981.19128653713;3879.84875123831;5671.09262826776;2403.83135606663;6300.70297079506;4762.30346600249;7703.52205960753;6529.88638941949;5136.62287605295;1
0;1;0;0;2;140000;1;0;13;261.766295446239;248.009827949434;551.599682363916;2372.93347008965;6168.16959862802;3439.16181199899;5169.96831281349;3211.32356904494;3663.8418775022;7585.74950433193;3032.4592206119;1639.45122261161;6290.71926448118;4832.88626858614;1802.55308832699;1
0;1;0;0;4;270000;1;0;17;118.869588115609;427.767325606332;476.779492023427;3862.84390815005;1259.47657943041;2685.5881749004;3695.35035369007;3234.21846491172;2682.53532648214;4696.6743814825;3700.99471369259;4605.23419320248;2559.37877494171;2240.19005400611;3696.76349760539;1
1;0;0;0;8;270000;2;1;38;270.960249768986;284.364509971297;512.893870258658;4015.50797627885;1296.67748111434;2837.39470929243;3764.40557272947;3384.1405164895;2822.04899907531;4722.61686159522;3835.39020189455;4757.95589362103;2567.61763101038;2336.26120975684;3738.74609812583;1
1;0;0;0;14;690000;2;1;50;193.479620082522;328.952761005178;260.251869480019;4011.50574243566;3644.68090002957;4243.92391436849;7346.17006091801;3348.03861146052;5066.96107375055;2075.45972174192;5758.91744243838;4402.16775624033;7007.3104073262;5869.01181329777;4657.08640060759;1
1;0;0;0;2;1030000;3;2;67;80.3124932639686;302.960722424408;338.463097988241;1063.12897877411;4859.04391563335;2233.08432075346;4578.63693433563;1886.68925062781;2646.66022827396;6342.78729280574;2339.31236683754;314.633554333209;5406.28212249361;3894.92686293399;745.521001221879;0
1;0;0;0;9;705000;3;2;61;235.850088865946;297.908490346345;625.642532427018;3467.75701927725;6483.22228950532;3689.66967994739;3383.08162764436;4212.90635600013;3273.71022496447;8899.6989999883;2229.02015534527;3177.50879729681;4965.48130913032;3884.63177448399;2697.32012411713;1
